age,years_experience,education_level,department,performance_score,performance_category,score_per_year,education_rank,performance_level,age_group,experience_band
58,23,High School,Finance,10.0,Excellent,0.43478260869565216,1.0,High,Senior,Senior
34,15,High School,HR,5.0,Good,0.3333333333333333,1.0,Medium,Mid-Career,Mid
27,29,PhD,HR,4.0,Average,0.13793103448275862,4.0,Low,Young,Senior
40,36,PhD,Finance,2.0,Poor,0.05555555555555555,4.0,Low,Mid-Career,Senior
58,13,PhD,Tech,4.0,Average,0.3076923076923077,4.0,Low,Senior,Mid
38,32,PhD,Tech,10.0,Excellent,0.3125,4.0,High,Mid-Career,Senior
42,7,PhD,Finance,10.0,Excellent,1.4285714285714286,4.0,High,Mid-Career,Junior
30,22,Master'S,HR,3.0,Poor,0.13636363636363635,,Low,Mid-Career,Senior
30,28,Master,HR,10.0,Excellent,0.35714285714285715,3.0,High,Mid-Career,Senior
43,2,High School,Tech,1.0,Poor,0.5,1.0,Low,Mid-Career,Entry
55,6,PhD,HR,8.0,Very Good,1.3333333333333333,4.0,High,Senior,Junior
59,28,High School,Sales,5.0,Average,0.17857142857142858,1.0,Low,Senior,Senior
43,28,PhD,Tech,4.0,Average,0.14285714285714285,4.0,Low,Mid-Career,Senior
22,20,PhD,HR,8.0,Very Good,0.4,4.0,High,Young,Mid
41,30,Master,Tech,7.0,Good,0.23333333333333334,3.0,Medium,Mid-Career,Senior
21,11,Master,Sales,2.0,Poor,0.18181818181818182,3.0,Low,Young,Mid
43,28,Bachelor,Tech,1.0,Poor,0.03571428571428571,2.0,Low,Mid-Career,Senior
49,25,Master,Tech,4.0,Average,0.16,3.0,Low,Senior,Senior
57,39,Bachelor,Tech,8.0,Very Good,0.20512820512820512,2.0,High,Senior,Senior
21,33,Bachelor,Tech,2.0,Poor,0.06060606060606061,2.0,Low,Young,Senior
40,1,Bachelor,Sales,3.0,Poor,3.0,2.0,Low,Mid-Career,Entry
52,27,Bachelor,Finance,1.0,Poor,0.037037037037037035,2.0,Low,Senior,Senior
31,13,Bachelor,Tech,1.0,Poor,0.07692307692307693,2.0,Low,Mid-Career,Mid
41,3,High School,Tech,3.0,Poor,1.0,1.0,Low,Mid-Career,Entry
